threat_id,technique_id,threat_description,run_1,run_2,run_3,included
S-079,T1029,Scheduled Transfer,1,1,0,1
S-080,T1048,Exfiltration Over Alternative Protocol,1,1,1,1
S-081,T1020,Automated Exfiltration,1,0,0,0
S-082,T1657,Financial Theft,1,1,1,1
S-083,T1486,Data Encrypted for Impact (Ransomware),1,1,1,1
S-084,T1565,Data Manipulation,1,0,1,1
S-085,T1491,Defacement,1,1,1,1
S-086,T1485,Data Destruction,1,1,0,1
S-087,T1561,Disk Wipe,1,1,0,1
S-088,T1498,Network Denial of Service,1,0,1,1
S-089,T1531,Account Access Removal,1,0,0,0
S-090,T1496,Resource Hijacking,1,0,0,0
S-091,T1592,Gather Victim Host Information,0,1,1,1
S-092,T1546,Event Triggered Execution,0,1,0,0
S-093,T1036,Masquerading,0,1,1,1
S-094,T1055,Process Injection,0,1,0,0
S-095,T1553,Subvert Trust Controls,0,1,0,0
S-096,T1564,Hide Artifacts,0,1,0,0
S-097,T1552,Unsecured Credentials,0,1,1,1
S-098,T1135,Network Share Discovery,0,1,0,0
S-099,T1563,Remote Service Session Hijacking,0,1,0,0
S-100,T1074,Data Staged,0,1,0,0
S-101,T1185,Browser Session Hijacking,0,1,0,0
S-102,T1568,Dynamic Resolution,0,1,1,1
S-103,T1008,Fallback Channels,0,1,0,0
S-104,T1030,Data Transfer Size Limits,0,1,1,1
S-105,T1490,Inhibit System Recovery,0,1,1,1
S-106,T1489,Service Stop,0,1,0,0
S-107,T1659,Content Injection,0,1,0,0
S-108,T1589,Gather Victim Identity Information,0,0,1,0
S-109,T1584,Compromise Infrastructure,0,0,1,0
S-110,T1203,Exploitation for Client Execution,0,0,1,0
S-111,T1574,Hijack Execution Flow,0,0,1,0
S-112,T1176,Browser Extensions,0,0,1,0
S-113,T1057,Process Discovery,0,0,1,0
S-114,T1526,Cloud Service Discovery,0,0,1,0
S-115,T1499,Endpoint Denial of Service,0,0,1,0
S-116,T1529,System Shutdown/Reboot,0,0,1,0
