threat_id,technique_id,threat_description,ambiguity_class,rationale
S-033,T1134,Access Token Manipulation,clear_match,"EC5: valid ID, name matches canonical 'Access Token Manipulation' (similarity 1.00)"
S-034,T1484,Domain Policy Modification,clear_match,"EC5: valid ID, name matches canonical 'Domain or Tenant Policy Modification' (similarity 0.84)"
S-035,T1611,Escape to Host,clear_match,"EC5: valid ID, name matches canonical 'Escape to Host' (similarity 1.00)"
S-036,T1548,Abuse Elevation Control Mechanism,clear_match,"EC5: valid ID, name matches canonical 'Abuse Elevation Control Mechanism' (similarity 1.00)"
S-037,T1562,Impair Defenses,clear_match,"EC5: valid ID, name matches canonical 'Impair Defenses' (similarity 1.00)"
S-038,T1550,Use Alternate Authentication Material,clear_match,"EC5: valid ID, name matches canonical 'Use Alternate Authentication Material' (similarity 1.00)"
S-039,T1027,Obfuscated Files or Information,clear_match,"EC5: valid ID, name matches canonical 'Obfuscated Files or Information' (similarity 1.00)"
S-040,T1218,System Binary Proxy Execution,clear_match,"EC5: valid ID, name matches canonical 'System Binary Proxy Execution' (similarity 1.00)"
S-041,T1070,Indicator Removal,clear_match,"EC5: valid ID, name matches canonical 'Indicator Removal' (similarity 1.00)"
S-042,T1090,Proxy,clear_match,"EC5: valid ID, name matches canonical 'Proxy' (similarity 1.00)"
S-045,T1110,Brute Force,clear_match,"EC5: valid ID, name matches canonical 'Brute Force' (similarity 1.00)"
S-046,T1003,OS Credential Dumping,clear_match,"EC5: valid ID, name matches canonical 'OS Credential Dumping' (similarity 1.00)"
S-047,T1111,Multi-Factor Authentication Interception,clear_match,"EC5: valid ID, name matches canonical 'Multi-Factor Authentication Interception' (similarity 1.00)"
S-049,T1539,Steal Web Session Cookie,clear_match,"EC5: valid ID, name matches canonical 'Steal Web Session Cookie' (similarity 1.00)"
S-050,T1528,Steal Application Access Token,clear_match,"EC5: valid ID, name matches canonical 'Steal Application Access Token' (similarity 1.00)"
S-052,T1557,Adversary-in-the-Middle,clear_match,"EC5: valid ID, name matches canonical 'Adversary-in-the-Middle' (similarity 1.00)"
S-053,T1087,Account Discovery,clear_match,"EC5: valid ID, name matches canonical 'Account Discovery' (similarity 1.00)"
S-054,T1069,Permission Groups Discovery,clear_match,"EC5: valid ID, name matches canonical 'Permission Groups Discovery' (similarity 1.00)"
S-055,T1046,Network Service Discovery,clear_match,"EC5: valid ID, name matches canonical 'Network Service Discovery' (similarity 1.00)"
S-056,T1580,Cloud Infrastructure Discovery,clear_match,"EC5: valid ID, name matches canonical 'Cloud Infrastructure Discovery' (similarity 1.00)"
S-059,T1082,System Information Discovery,clear_match,"EC5: valid ID, name matches canonical 'System Information Discovery' (similarity 1.00)"
S-060,T1021,Remote Services,clear_match,"EC5: valid ID, name matches canonical 'Remote Services' (similarity 1.00)"
S-061,T1534,Internal Spearphishing,clear_match,"EC5: valid ID, name matches canonical 'Internal Spearphishing' (similarity 1.00)"
S-062,T1570,Lateral Tool Transfer,clear_match,"EC5: valid ID, name matches canonical 'Lateral Tool Transfer' (similarity 1.00)"
S-063,T1210,Exploitation of Remote Services,clear_match,"EC5: valid ID, name matches canonical 'Exploitation of Remote Services' (similarity 1.00)"
S-064,T1213,Data from Information Repositories,clear_match,"EC5: valid ID, name matches canonical 'Data from Information Repositories' (similarity 1.00)"
S-065,T1114,Email Collection,clear_match,"EC5: valid ID, name matches canonical 'Email Collection' (similarity 1.00)"
S-066,T1530,Data from Cloud Storage Object,clear_match,"EC5: valid ID, name matches canonical 'Data from Cloud Storage' (similarity 0.90)"
S-067,T1005,Data from Local System,clear_match,"EC5: valid ID, name matches canonical 'Data from Local System' (similarity 1.00)"
S-069,T1560,Archive Collected Data,clear_match,"EC5: valid ID, name matches canonical 'Archive Collected Data' (similarity 1.00)"
S-071,T1071,Application Layer Protocol,clear_match,"EC5: valid ID, name matches canonical 'Application Layer Protocol' (similarity 1.00)"
S-072,T1102,Web Service,clear_match,"EC5: valid ID, name matches canonical 'Web Service' (similarity 1.00)"
S-075,T1572,Protocol Tunneling,clear_match,"EC5: valid ID, name matches canonical 'Protocol Tunneling' (similarity 1.00)"
S-076,T1041,Exfiltration Over C2 Channel,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over C2 Channel' (similarity 1.00)"
S-077,T1567,Exfiltration Over Web Service,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over Web Service' (similarity 1.00)"
S-078,T1537,Transfer Data to Cloud Account,clear_match,"EC5: valid ID, name matches canonical 'Transfer Data to Cloud Account' (similarity 1.00)"
S-079,T1029,Scheduled Transfer,clear_match,"EC5: valid ID, name matches canonical 'Scheduled Transfer' (similarity 1.00)"
S-080,T1048,Exfiltration Over Alternative Protocol,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over Alternative Protocol' (similarity 1.00)"
S-082,T1657,Financial Theft,clear_match,"EC5: valid ID, name matches canonical 'Financial Theft' (similarity 1.00)"
S-083,T1486,Data Encrypted for Impact (Ransomware),clear_match,"EC5: valid ID, name matches canonical 'Data Encrypted for Impact' (similarity 1.00)"
S-084,T1565,Data Manipulation,clear_match,"EC5: valid ID, name matches canonical 'Data Manipulation' (similarity 1.00)"
S-085,T1491,Defacement,clear_match,"EC5: valid ID, name matches canonical 'Defacement' (similarity 1.00)"
S-086,T1485,Data Destruction,clear_match,"EC5: valid ID, name matches canonical 'Data Destruction' (similarity 1.00)"
S-087,T1561,Disk Wipe,clear_match,"EC5: valid ID, name matches canonical 'Disk Wipe' (similarity 1.00)"
S-088,T1498,Network Denial of Service,clear_match,"EC5: valid ID, name matches canonical 'Network Denial of Service' (similarity 1.00)"
S-091,T1592,Gather Victim Host Information,clear_match,"EC5: valid ID, name matches canonical 'Gather Victim Host Information' (similarity 1.00)"
S-093,T1036,Masquerading,clear_match,"EC5: valid ID, name matches canonical 'Masquerading' (similarity 1.00)"
S-097,T1552,Unsecured Credentials,clear_match,"EC5: valid ID, name matches canonical 'Unsecured Credentials' (similarity 1.00)"
S-102,T1568,Dynamic Resolution,clear_match,"EC5: valid ID, name matches canonical 'Dynamic Resolution' (similarity 1.00)"
S-104,T1030,Data Transfer Size Limits,clear_match,"EC5: valid ID, name matches canonical 'Data Transfer Size Limits' (similarity 1.00)"
S-105,T1490,Inhibit System Recovery,clear_match,"EC5: valid ID, name matches canonical 'Inhibit System Recovery' (similarity 1.00)"
