technique_id,technique_name,tactic,traditional_match,llm_baseline_match,llm_structured_match,coder_id,confidence,notes
T1578,Modify Cloud Compute Infrastructure,defense-evasion,,,,,,
T1599,Network Boundary Bridging,defense-evasion,,,,,,
T1600,Weaken Encryption,defense-evasion,,,,,,
T1601,Modify System Image,defense-evasion,,,,,,
T1610,Deploy Container,defense-evasion,,,,,,
T1612,Build Image on Host,defense-evasion,,,,,,
T1620,Reflective Code Loading,defense-evasion,,,,,,
T1622,Debugger Evasion,defense-evasion,,,,,,
T1647,Plist File Modification,defense-evasion,,,,,,
T1656,Impersonation,defense-evasion,,,,,,
T1003,OS Credential Dumping,credential-access,,,,,,
T1040,Network Sniffing,credential-access,,,,,,
T1056,Input Capture,credential-access,,,,,,
T1110,Brute Force,credential-access,,,,,,
T1111,Multi-Factor Authentication Interception,credential-access,,,,,,
T1187,Forced Authentication,credential-access,,,,,,
T1212,Exploitation for Credential Access,credential-access,,,,,,
T1528,Steal Application Access Token,credential-access,,,,,,
T1539,Steal Web Session Cookie,credential-access,,,,,,
T1552,Unsecured Credentials,credential-access,,,,,,
T1555,Credentials from Password Stores,credential-access,,,,,,
T1556,Modify Authentication Process,credential-access,,,,,,
T1557,Adversary-in-the-Middle,credential-access,,,,,,
T1558,Steal or Forge Kerberos Tickets,credential-access,,,,,,
T1606,Forge Web Credentials,credential-access,,,,,,
T1621,Multi-Factor Authentication Request Generation,credential-access,,,,,,
T1649,Steal or Forge Authentication Certificates,credential-access,,,,,,
T1007,System Service Discovery,discovery,,,,,,
T1010,Application Window Discovery,discovery,,,,,,
T1012,Query Registry,discovery,,,,,,
T1016,System Network Configuration Discovery,discovery,,,,,,
T1018,Remote System Discovery,discovery,,,,,,
T1033,System Owner/User Discovery,discovery,,,,,,
T1040,Network Sniffing,discovery,,,,,,
T1046,Network Service Discovery,discovery,,,,,,
T1049,System Network Connections Discovery,discovery,,,,,,
T1057,Process Discovery,discovery,,,,,,
T1069,Permission Groups Discovery,discovery,,,,,,
T1082,System Information Discovery,discovery,,,,,,
T1083,File and Directory Discovery,discovery,,,,,,
T1087,Account Discovery,discovery,,,,,,
T1120,Peripheral Device Discovery,discovery,,,,,,
T1124,System Time Discovery,discovery,,,,,,
T1135,Network Share Discovery,discovery,,,,,,
T1201,Password Policy Discovery,discovery,,,,,,
T1217,Browser Information Discovery,discovery,,,,,,
T1482,Domain Trust Discovery,discovery,,,,,,
T1497,Virtualization/Sandbox Evasion,discovery,,,,,,
T1518,Software Discovery,discovery,,,,,,
T1526,Cloud Service Discovery,discovery,,,,,,
T1538,Cloud Service Dashboard,discovery,,,,,,
T1580,Cloud Infrastructure Discovery,discovery,,,,,,
T1613,Container and Resource Discovery,discovery,,,,,,
T1614,System Location Discovery,discovery,,,,,,
T1615,Group Policy Discovery,discovery,,,,,,
T1619,Cloud Storage Object Discovery,discovery,,,,,,
T1622,Debugger Evasion,discovery,,,,,,
T1652,Device Driver Discovery,discovery,,,,,,
T1654,Log Enumeration,discovery,,,,,,
T1021,Remote Services,lateral-movement,,,,,,
T1072,Software Deployment Tools,lateral-movement,,,,,,
T1080,Taint Shared Content,lateral-movement,,,,,,
T1091,Replication Through Removable Media,lateral-movement,,,,,,
T1210,Exploitation of Remote Services,lateral-movement,,,,,,
T1534,Internal Spearphishing,lateral-movement,,,,,,
T1550,Use Alternate Authentication Material,lateral-movement,,,,,,
T1563,Remote Service Session Hijacking,lateral-movement,,,,,,
T1570,Lateral Tool Transfer,lateral-movement,,,,,,
T1005,Data from Local System,collection,,,,,,
T1025,Data from Removable Media,collection,,,,,,
T1039,Data from Network Shared Drive,collection,,,,,,
T1056,Input Capture,collection,,,,,,
T1074,Data Staged,collection,,,,,,
T1113,Screen Capture,collection,,,,,,
T1114,Email Collection,collection,,,,,,
T1115,Clipboard Data,collection,,,,,,
T1119,Automated Collection,collection,,,,,,
T1123,Audio Capture,collection,,,,,,
T1125,Video Capture,collection,,,,,,
T1185,Browser Session Hijacking,collection,,,,,,
T1213,Data from Information Repositories,collection,,,,,,
T1530,Data from Cloud Storage,collection,,,,,,
T1557,Adversary-in-the-Middle,collection,,,,,,
T1560,Archive Collected Data,collection,,,,,,
T1602,Data from Configuration Repository,collection,,,,,,
T1001,Data Obfuscation,command-and-control,,,,,,
T1008,Fallback Channels,command-and-control,,,,,,
T1071,Application Layer Protocol,command-and-control,,,,,,
T1090,Proxy,command-and-control,,,,,,
T1092,Communication Through Removable Media,command-and-control,,,,,,
T1095,Non-Application Layer Protocol,command-and-control,,,,,,
T1102,Web Service,command-and-control,,,,,,
T1104,Multi-Stage Channels,command-and-control,,,,,,
T1105,Ingress Tool Transfer,command-and-control,,,,,,
T1132,Data Encoding,command-and-control,,,,,,
T1205,Traffic Signaling,command-and-control,,,,,,
T1219,Remote Access Software,command-and-control,,,,,,
T1568,Dynamic Resolution,command-and-control,,,,,,
T1571,Non-Standard Port,command-and-control,,,,,,
T1572,Protocol Tunneling,command-and-control,,,,,,
T1573,Encrypted Channel,command-and-control,,,,,,
T1659,Content Injection,command-and-control,,,,,,
T1665,Hide Infrastructure,command-and-control,,,,,,
T1011,Exfiltration Over Other Network Medium,exfiltration,,,,,,
T1020,Automated Exfiltration,exfiltration,,,,,,
T1029,Scheduled Transfer,exfiltration,,,,,,
T1030,Data Transfer Size Limits,exfiltration,,,,,,
T1041,Exfiltration Over C2 Channel,exfiltration,,,,,,
T1048,Exfiltration Over Alternative Protocol,exfiltration,,,,,,
T1052,Exfiltration Over Physical Medium,exfiltration,,,,,,
T1537,Transfer Data to Cloud Account,exfiltration,,,,,,
T1567,Exfiltration Over Web Service,exfiltration,,,,,,
T1485,Data Destruction,impact,,,,,,
T1486,Data Encrypted for Impact,impact,,,,,,
T1489,Service Stop,impact,,,,,,
T1490,Inhibit System Recovery,impact,,,,,,
T1491,Defacement,impact,,,,,,
T1495,Firmware Corruption,impact,,,,,,
T1496,Resource Hijacking,impact,,,,,,
T1498,Network Denial of Service,impact,,,,,,
T1499,Endpoint Denial of Service,impact,,,,,,
T1529,System Shutdown/Reboot,impact,,,,,,
T1531,Account Access Removal,impact,,,,,,
T1561,Disk Wipe,impact,,,,,,
T1565,Data Manipulation,impact,,,,,,
T1657,Financial Theft,impact,,,,,,
